video-id,t-start,t-end,label
video_validation_0000365,18.1,24.3,HighJump
video_validation_0000365,29.6,33.3,HighJump
video_validation_0000365,69.7,77.3,HighJump
video_validation_0000365,80.8,84.3,HighJump
video_validation_0000365,110.4,116.2,HighJump
video_validation_0000365,145.3,151.2,HighJump
video_validation_0000365,192.9,198.5,HighJump
video_validation_0000365,213.0,219.9,HighJump
video_validation_0000664,20.4,29.9,PoleVault
video_validation_0000664,33.8,37.8,PoleVault
video_validation_0000664,43.5,49.2,PoleVault
video_validation_0000664,53.0,59.3,PoleVault
video_validation_0000664,63.9,68.6,PoleVault
video_validation_0000664,72.7,78.8,PoleVault
video_validation_0000664,85.4,93.1,PoleVault
video_validation_0000664,97.6,105.0,PoleVault
video_validation_0000931,31.4,34.0,TennisSwing
video_validation_0000931,34.5,37.1,TennisSwing
video_validation_0000931,38.8,40.5,TennisSwing
video_validation_0000931,57.5,59.2,TennisSwing
video_validation_0000931,61.6,64.4,TennisSwing
video_validation_0000931,65.4,67.1,TennisSwing
video_validation_0000369,160.9,168.0,HighJump
video_validation_0000369,171.8,178.2,HighJump
video_validation_0000369,218.2,225.6,HighJump
video_validation_0000369,230.0,236.0,HighJump
video_validation_0000369,258.0,262.4,HighJump
video_validation_0000369,267.3,269.9,HighJump
video_validation_0000369,288.9,292.5,HighJump
video_validation_0000369,299.1,304.6,HighJump
video_validation_0000369,305.2,307.6,HighJump
video_validation_0000369,335.1,342.3,HighJump
video_validation_0000369,349.1,355.2,HighJump
video_validation_0000369,393.6,396.9,HighJump
video_validation_0000369,402.0,407.8,HighJump
video_validation_0000369,420.7,425.5,HighJump
video_validation_0000369,430.2,433.5,HighJump
video_validation_0000369,434.7,437.4,HighJump
video_validation_0000369,457.9,462.7,HighJump
video_validation_0000369,470.6,474.5,HighJump
video_validation_0000369,506.3,511.2,HighJump
video_validation_0000369,518.8,522.2,HighJump
video_validation_0000369,553.4,557.3,HighJump
video_validation_0000369,566.1,571.4,HighJump
video_validation_0000369,606.7,612.0,HighJump
video_validation_0000369,624.3,628.4,HighJump
video_validation_0000369,668.0,673.9,HighJump
video_validation_0000369,679.0,681.6,HighJump
video_validation_0000369,741.1,745.6,HighJump
video_validation_0000369,752.9,756.6,HighJump
video_validation_0000369,756.9,759.6,HighJump
video_validation_0000282,7.7,15.5,GolfSwing
video_validation_0000282,29.3,32.4,GolfSwing
video_validation_0000282,32.8,35.8,GolfSwing
video_validation_0000318,23.0,28.3,HammerThrow
video_validation_0000318,28.9,34.3,HammerThrow
video_validation_0000318,39.7,45.4,HammerThrow
video_validation_0000318,46.3,52.0,HammerThrow
video_validation_0000318,52.2,57.8,HammerThrow
video_validation_0000318,58.6,63.5,HammerThrow
video_validation_0000318,63.8,68.8,HammerThrow
video_validation_0000318,69.9,74.4,HammerThrow
video_validation_0000318,74.8,79.0,HammerThrow
video_validation_0000318,79.5,84.7,HammerThrow
video_validation_0000318,89.1,97.0,HammerThrow
video_validation_0000318,97.3,104.0,HammerThrow
video_validation_0000318,104.7,108.6,HammerThrow
video_validation_0000318,109.1,115.0,HammerThrow
video_validation_0000318,116.9,121.7,HammerThrow
video_validation_0000318,122.1,125.8,HammerThrow
video_validation_0000318,131.3,141.0,HammerThrow
video_validation_0000318,142.1,155.4,HammerThrow
