video-id,t-start,t-end,score,label
video_validation_0000365,18.8,36.5,1.2470772,HighJump
video_validation_0000365,66.2,89.1,1.4542037,HighJump
video_validation_0000365,111.4,124.5,1.3147602,HighJump
video_validation_0000365,131.6,131.9,0.055106398,HighJump
video_validation_0000365,137.5,156.0,1.0956383,HighJump
video_validation_0000365,156.7,159.1,0.18719056,HighJump
video_validation_0000365,159.8,166.2,0.6315892,HighJump
video_validation_0000365,171.9,177.0,0.28945982,HighJump
video_validation_0000365,188.0,188.6,0.2018635,HighJump
video_validation_0000365,189.5,206.1,1.4555291,HighJump
video_validation_0000365,207.2,237.4,1.106906,HighJump
video_validation_0000365,241.6,246.4,0.47201845,HighJump
video_validation_0000664,16.2,16.7,0.5466941,HighJump
video_validation_0000664,18.8,30.2,0.8297424,HighJump
video_validation_0000664,34.0,41.7,0.9579425,HighJump
video_validation_0000664,44.0,60.3,0.8527995,HighJump
video_validation_0000664,64.4,70.4,0.8068327,HighJump
video_validation_0000664,72.4,81.9,0.52875876,HighJump
video_validation_0000664,86.1,97.7,0.9074484,HighJump
video_validation_0000664,108.3,109.8,0.116175756,HighJump
video_validation_0000931,11.1,11.5,1.25968,TennisSwing
video_validation_0000931,19.7,81.1,1.7064024,TennisSwing
video_validation_0000369,114.2,118.8,0.29381865,HighJump
video_validation_0000369,160.8,170.4,1.529367,HighJump
video_validation_0000369,171.5,179.5,1.4863511,HighJump
video_validation_0000369,225.5,237.5,1.4521943,HighJump
video_validation_0000369,251.9,274.2,1.2506624,HighJump
video_validation_0000369,276.0,276.4,0.1312688,HighJump
video_validation_0000369,285.5,311.4,1.5970356,HighJump
video_validation_0000369,334.1,360.2,1.706962,HighJump
video_validation_0000369,363.8,368.8,0.31130075,HighJump
video_validation_0000369,389.5,400.6,1.3935425,HighJump
video_validation_0000369,415.8,428.6,1.7477955,HighJump
video_validation_0000369,429.9,440.2,1.4941814,HighJump
video_validation_0000369,456.6,464.9,1.5814949,HighJump
video_validation_0000369,466.0,480.4,1.6149665,HighJump
video_validation_0000369,486.1,487.5,0.45267254,HighJump
video_validation_0000369,502.8,530.5,1.6942818,HighJump
video_validation_0000369,552.0,575.8,1.6766808,HighJump
video_validation_0000369,576.8,577.9,0.92675954,HighJump
video_validation_0000369,587.8,594.6,0.15273651,HighJump
video_validation_0000369,617.6,630.4,1.7542083,HighJump
video_validation_0000369,631.2,634.8,1.0432249,HighJump
video_validation_0000369,641.8,654.2,0.44658542,HighJump
video_validation_0000369,661.4,688.8,1.6917993,HighJump
video_validation_0000369,702.7,704.9,1.0212365,HighJump
video_validation_0000369,712.1,714.9,0.15852319,HighJump
video_validation_0000369,722.8,768.2,1.5940875,HighJump
video_validation_0000369,772.0,773.6,0.10109313,HighJump
video_validation_0000369,879.0,885.2,0.46700174,HighJump
video_validation_0000282,0.0,3.4,0.37323746,GolfSwing
video_validation_0000282,7.8,15.7,0.84439546,GolfSwing
video_validation_0000282,29.3,36.5,0.9833278,GolfSwing
video_validation_0000318,24.6,34.5,0.9194467,HammerThrow
video_validation_0000318,46.2,46.7,0.22206539,HammerThrow
video_validation_0000318,47.4,50.6,0.1857061,HammerThrow
video_validation_0000318,58.0,73.3,0.9370776,HammerThrow
video_validation_0000318,74.4,79.1,0.3136935,HammerThrow
video_validation_0000318,80.1,97.1,0.50623566,HammerThrow
video_validation_0000318,101.0,103.1,0.20363958,HammerThrow
video_validation_0000318,104.9,105.1,0.16720843,HammerThrow
video_validation_0000318,105.9,106.6,0.076291546,HammerThrow
video_validation_0000318,108.7,113.3,0.3563981,HammerThrow
video_validation_0000318,115.6,116.1,0.10708737,HammerThrow
video_validation_0000318,117.3,126.5,0.3902969,HammerThrow
video_validation_0000318,130.0,131.7,0.1093806,HammerThrow
video_validation_0000318,133.2,141.1,0.4281819,HammerThrow
video_validation_0000318,141.9,149.6,0.21015526,HammerThrow
video_validation_0000318,151.1,159.7,0.41216153,HammerThrow
video_validation_0000318,165.4,176.9,0.37690222,HammerThrow
video_validation_0000318,178.0,186.7,0.5682138,HammerThrow
video_validation_0000314,0.2,3.2,0.5020732,HammerThrow
video_validation_0000314,18.5,25.5,0.88576275,HammerThrow
video_validation_0000314,26.2,30.5,0.65558773,HammerThrow
video_validation_0000314,32.0,33.0,1.3045195,HammerThrow
video_validation_0000314,33.8,38.9,0.90102583,HammerThrow
video_validation_0000314,39.7,49.3,0.90474087,HammerThrow
video_validation_0000314,51.7,53.6,0.4703708,HammerThrow
video_validation_0000314,54.4,59.4,0.57345307,HammerThrow
video_validation_0000314,60.2,61.0,0.65791553,HammerThrow
video_validation_0000314,63.6,63.7,0.64029706,HammerThrow
video_validation_0000314,64.9,65.1,0.26191586,HammerThrow
video_validation_0000314,66.2,71.9,0.9533522,HammerThrow
video_validation_0000314,74.6,75.1,0.4424475,HammerThrow
video_validation_0000314,83.0,99.2,1.028067,HammerThrow
video_validation_0000314,101.9,109.2,0.9554668,HammerThrow
video_validation_0000314,110.7,112.8,0.30251095,HammerThrow
video_validation_0000314,113.5,114.0,0.50338274,HammerThrow
video_validation_0000314,114.9,128.8,0.8285806,HammerThrow
video_validation_0000314,133.0,148.7,0.925981,HammerThrow
video_validation_0000314,149.8,150.7,0.8361402,HammerThrow
video_validation_0000314,151.5,152.5,0.06937875,HammerThrow
video_validation_0000314,153.2,155.6,0.8277683,HammerThrow
video_validation_0000314,158.6,159.3,0.8058859,HammerThrow
video_validation_0000314,164.1,166.4,0.24953589,HammerThrow
video_validation_0000314,168.9,169.4,0.15975769,HammerThrow
video_validation_0000314,170.7,171.4,0.4226009,HammerThrow
video_validation_0000314,175.0,175.7,0.25733936,HammerThrow
video_validation_0000314,176.6,177.2,0.91771936,HammerThrow
video_validation_0000314,178.0,183.0,1.0776672,HammerThrow
video_validation_0000314,183.8,184.4,0.38138983,HammerThrow
video_validation_0000314,186.4,188.3,0.32293466,HammerThrow
video_validation_0000314,190.3,199.0,0.77737874,HammerThrow
video_validation_0000314,201.5,205.1,0.8218463,HammerThrow
video_validation_0000314,206.2,212.7,0.57051665,HammerThrow
video_validation_0000314,214.9,224.9,0.75647897,HammerThrow
video_validation_0000314,225.6,233.5,0.6621359,HammerThrow
video_validation_0000314,236.7,236.9,0.20121425,HammerThrow
video_validation_0000314,241.4,262.8,1.0330565,HammerThrow
video_validation_0000314,263.8,266.7,0.4626071,HammerThrow
video_validation_0000314,267.4,271.0,0.872095,HammerThrow
video_validation_0000314,279.0,281.8,0.8276803,HammerThrow
video_validation_0000314,283.8,284.1,0.33217654,HammerThrow
video_validation_0000314,287.3,288.6,1.0043672,HammerThrow
video_validation_0000314,289.5,289.6,0.18729438,HammerThrow
video_validation_0000314,290.4,295.7,1.2227634,HammerThrow
video_validation_0000314,297.5,298.0,0.5438789,HammerThrow
video_validation_0000314,299.5,299.5,-0.26969257,HammerThrow
video_validation_0000314,300.4,300.6,-0.08910736,HammerThrow
video_validation_0000314,304.5,313.1,0.78571934,HammerThrow
video_validation_0000314,316.9,317.7,0.56683487,HammerThrow
video_validation_0000314,318.5,325.1,0.71631825,HammerThrow
video_validation_0000314,327.5,328.0,0.23473719,HammerThrow
video_validation_0000314,328.8,329.6,0.38564655,HammerThrow
video_validation_0000314,332.0,336.1,0.6771298,HammerThrow
video_validation_0000314,339.8,340.3,0.5759716,HammerThrow
video_validation_0000314,341.0,343.0,0.3149781,HammerThrow
video_validation_0000314,347.1,347.5,0.44331136,HammerThrow
video_validation_0000314,348.4,353.7,0.6571107,HammerThrow
video_validation_0000314,354.5,354.8,0.62185615,HammerThrow
video_validation_0000314,356.1,362.5,0.81137425,HammerThrow
video_validation_0000314,364.5,371.6,1.1377664,HammerThrow
video_validation_0000314,373.2,384.2,1.1688665,HammerThrow
video_validation_0000314,386.4,393.6,0.92892665,HammerThrow
video_validation_0000314,394.7,402.6,0.7378104,HammerThrow
video_validation_0000314,404.2,411.6,1.4012164,HammerThrow
video_validation_0000314,413.3,419.3,0.6927002,HammerThrow
video_validation_0000314,420.3,427.2,0.85633755,HammerThrow
video_validation_0000314,430.7,431.6,0.5965116,HammerThrow
video_validation_0000314,432.3,436.4,1.017491,HammerThrow
video_validation_0000314,443.0,443.7,0.2671891,HammerThrow
video_validation_0000314,446.9,452.5,0.62758464,HammerThrow
video_validation_0000314,454.7,457.8,0.6119725,HammerThrow
video_validation_0000314,458.6,462.9,0.38931715,HammerThrow
video_validation_0000314,464.8,470.5,1.1172725,HammerThrow
video_validation_0000314,472.4,480.4,1.1388782,HammerThrow
video_validation_0000314,482.4,494.5,1.0800536,HammerThrow
video_validation_0000314,495.2,495.3,0.5629817,HammerThrow
video_validation_0000314,496.1,500.8,0.88220006,HammerThrow
video_validation_0000314,502.7,515.1,1.0199928,HammerThrow
video_validation_0000314,516.2,520.9,0.93267626,HammerThrow
video_validation_0000314,522.8,524.2,0.43188664,HammerThrow
video_validation_0000314,525.7,528.0,0.41773844,HammerThrow
video_validation_0000314,532.2,532.4,0.23396417,HammerThrow
video_validation_0000314,533.5,539.3,1.1032535,HammerThrow
video_validation_0000314,540.2,540.6,0.47815987,HammerThrow
video_validation_0000314,544.4,545.0,0.4566961,HammerThrow
video_validation_0000314,545.8,547.0,0.42172113,HammerThrow
video_validation_0000314,549.4,555.6,0.677698,HammerThrow
video_validation_0000314,558.0,571.6,1.0130663,HammerThrow
video_validation_0000314,575.0,575.7,0.48040518,HammerThrow
video_validation_0000314,576.4,583.9,0.39078298,HammerThrow
video_validation_0000314,584.7,591.7,0.7521942,HammerThrow
video_validation_0000314,594.1,594.3,0.49966508,HammerThrow
video_validation_0000314,595.1,598.4,0.56050813,HammerThrow
video_validation_0000314,599.2,608.2,0.5420721,HammerThrow
video_validation_0000314,611.7,618.7,0.8216156,HammerThrow
video_validation_0000314,621.9,633.4,0.8994165,HammerThrow
video_validation_0000314,634.4,635.0,0.51388234,HammerThrow
video_validation_0000314,643.5,644.2,0.65543836,HammerThrow
video_validation_0000314,646.2,646.6,0.097306885,HammerThrow
video_validation_0000314,647.3,648.6,0.7115396,HammerThrow
video_validation_0000314,650.9,652.1,1.0752376,HammerThrow
video_validation_0000314,652.8,658.2,0.42834395,HammerThrow
video_validation_0000314,660.9,664.0,0.77235276,HammerThrow
video_validation_0000314,665.1,669.3,0.5952746,HammerThrow
video_validation_0000314,673.4,682.4,0.8513938,HammerThrow
video_validation_0000314,684.5,689.5,0.47716606,HammerThrow
video_validation_0000314,692.4,692.7,0.6237444,HammerThrow
video_validation_0000314,701.7,701.7,0.11236198,HammerThrow
video_validation_0000314,705.7,705.7,-0.41040882,HammerThrow
video_validation_0000314,706.6,708.1,0.40137675,HammerThrow
video_validation_0000314,709.3,709.3,0.37356988,HammerThrow
video_validation_0000314,710.9,714.1,0.8206424,HammerThrow
video_validation_0000314,715.3,715.3,0.14538981,HammerThrow
video_validation_0000314,716.7,717.2,0.5928922,HammerThrow
video_validation_0000314,718.5,722.8,0.7410601,HammerThrow
